SCHOOL_YEAR,ASSAULT W/DANGEROUS WEAPON,HOMICIDE,ROBBERY,SEX ABUSE,All
2018-2019,913,77,1114,115,2219
2019-2020,857,92,1152,101,2202
2020-2021,877,119,1110,100,2206
2021-2022,877,140,1327,100,2444
2022-2023,789,128,1429,111,2457
All,4313,556,6132,527,11528
